Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Single-Ended I/O,Chip Globals
Clear_outputs/Primitives,1,1,0,1
Display_out/Primitives,2,2,0,0
Fast_clk_SW1/Primitives,38,26,0,0
Fast_clk_SW2/Primitives,39,27,0,0
Initial_blinking_SW1/Primitives,39,27,0,0
Initial_blinking_SW2/Primitives,47,33,0,0
Primitives/Primitives,0,0,7,1
