pin,slack
Initial_blinking_SW1/un14_cntlto31_0_o3_RNIJL5T1:Y,11175
Initial_blinking_SW1/cnt_RNIDRHHN1[23]:A,
Initial_blinking_SW1/cnt_RNIDRHHN1[23]:B,12013
Initial_blinking_SW1/cnt_RNIDRHHN1[23]:C,16929
Initial_blinking_SW1/cnt_RNIDRHHN1[23]:CC,11304
Initial_blinking_SW1/cnt_RNIDRHHN1[23]:D,
Initial_blinking_SW1/cnt_RNIDRHHN1[23]:P,12013
Initial_blinking_SW1/cnt_RNIDRHHN1[23]:S,11304
Initial_blinking_SW1/cnt_RNIDRHHN1[23]:UB,
Fast_clk_SW2/cnt_RNIH11P5[0]:A,
Fast_clk_SW2/cnt_RNIH11P5[0]:B,11403
Fast_clk_SW2/cnt_RNIH11P5[0]:C,15899
Fast_clk_SW2/cnt_RNIH11P5[0]:CC,13610
Fast_clk_SW2/cnt_RNIH11P5[0]:P,11403
Fast_clk_SW2/cnt_RNIH11P5[0]:S,12616
Fast_clk_SW2/cnt_RNIH11P5[0]:UB,15899
Fast_clk_SW2/cnt[1]:ADn,
Fast_clk_SW2/cnt[1]:ALn,16180
Fast_clk_SW2/cnt[1]:CLK,16046
Fast_clk_SW2/cnt[1]:D,12616
Fast_clk_SW2/cnt[1]:EN,
Fast_clk_SW2/cnt[1]:LAT,
Fast_clk_SW2/cnt[1]:Q,16046
Fast_clk_SW2/cnt[1]:SD,
Fast_clk_SW2/cnt[1]:SLn,
Fast_clk_SW2/cnt[12]:ADn,
Fast_clk_SW2/cnt[12]:ALn,16180
Fast_clk_SW2/cnt[12]:CLK,11550
Fast_clk_SW2/cnt[12]:D,11665
Fast_clk_SW2/cnt[12]:EN,
Fast_clk_SW2/cnt[12]:LAT,
Fast_clk_SW2/cnt[12]:Q,11550
Fast_clk_SW2/cnt[12]:SD,
Fast_clk_SW2/cnt[12]:SLn,
Initial_blinking_SW2/un14_cntlto31_0_a2_0:A,11332
Initial_blinking_SW2/un14_cntlto31_0_a2_0:B,12620
Initial_blinking_SW2/un14_cntlto31_0_a2_0:Y,11332
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:CC[0],11494
Fast_clk_SW1/un14_cntlto31_0_o3_RNIVUD32_CC_2:CC[1],11417
