
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. LedBlinkingDSpeed, 116, 53, 110, 0, 0, 0, 0, 2, 7
.	. ClkGen, 26, 12, 25, 0, 0, 0, 0, 0, 0
.	. ClkGenNoSwitch, 27, 12, 26, 0, 0, 0, 0, 0, 0
.	. ClkGenNoSwitch_1, 33, 14, 33, 0, 0, 0, 0, 0, 0
.	. ClkGen_1, 27, 12, 26, 0, 0, 0, 0, 0, 0
.	. Display, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. Reset_out, 1, 1, 0, 0, 0, 0, 0, 1, 0
