
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. LedBlinkingDSpeed, 115, 51, 108, 0, 0, 0, 0, 2, 7
.	. ClkGen, 27, 12, 26, 0, 0, 0, 0, 0, 0
.	. ClkGenNoSwitch, 28, 12, 27, 0, 0, 0, 0, 0, 0
.	. ClkGenNoSwitch_1, 29, 12, 28, 0, 0, 0, 0, 0, 0
.	. ClkGen_1, 28, 12, 27, 0, 0, 0, 0, 0, 0
.	. Display, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. Reset_out, 1, 1, 0, 0, 0, 0, 0, 1, 0
