pin,slack
Initial_blinking_SW1/un7_cntlto31_0_a3:D,15984
Initial_blinking_SW1/un7_cntlto31_0_a3:Y,11541
Initial_blinking_SW2/cnt[19]:ADn,
Initial_blinking_SW2/cnt[19]:ALn,16174
Initial_blinking_SW2/cnt[19]:CLK,13278
Initial_blinking_SW2/cnt[19]:D,11040
Initial_blinking_SW2/cnt[19]:EN,
Initial_blinking_SW2/cnt[19]:LAT,
Initial_blinking_SW2/cnt[19]:Q,13278
Initial_blinking_SW2/cnt[19]:SD,
Initial_blinking_SW2/cnt[19]:SLn,
Fast_clk_SW2/cnt_RNI0BA3K1[15]:A,
Fast_clk_SW2/cnt_RNI0BA3K1[15]:B,12311
Fast_clk_SW2/cnt_RNI0BA3K1[15]:C,17151
Fast_clk_SW2/cnt_RNI0BA3K1[15]:D,
Fast_clk_SW2/cnt_RNI0BA3K1[15]:FCI,12026
Fast_clk_SW2/cnt_RNI0BA3K1[15]:FCO,12026
Fast_clk_SW2/cnt_RNI0BA3K1[15]:S,12216
Initial_blinking_SW2/cnt_RNILBPBC1[13]:A,
Initial_blinking_SW2/cnt_RNILBPBC1[13]:B,11125
Initial_blinking_SW2/cnt_RNILBPBC1[13]:C,17094
Initial_blinking_SW2/cnt_RNILBPBC1[13]:D,
Initial_blinking_SW2/cnt_RNILBPBC1[13]:FCI,10904
Initial_blinking_SW2/cnt_RNILBPBC1[13]:FCO,10904
Initial_blinking_SW2/cnt_RNILBPBC1[13]:S,11142
Fast_clk_SW2/cnt[23]:ADn,
Fast_clk_SW2/cnt[23]:ALn,16174
Fast_clk_SW2/cnt[23]:CLK,14549
Fast_clk_SW2/cnt[23]:D,12064
Fast_clk_SW2/cnt[23]:EN,
Fast_clk_SW2/cnt[23]:LAT,
Fast_clk_SW2/cnt[23]:Q,14549
Fast_clk_SW2/cnt[23]:SD,
Fast_clk_SW2/cnt[23]:SLn,
Fast_clk_SW2/cnt[19]:ADn,
Fast_clk_SW2/cnt[19]:ALn,16174
Fast_clk_SW2/cnt[19]:CLK,12873
Fast_clk_SW2/cnt[19]:D,12140
Fast_clk_SW2/cnt[19]:EN,
Fast_clk_SW2/cnt[19]:LAT,
Fast_clk_SW2/cnt[19]:Q,12873
Fast_clk_SW2/cnt[19]:SD,
Fast_clk_SW2/cnt[19]:SLn,
Initial_blinking_SW1/cnt_RNI3INT71[16]:A,
Initial_blinking_SW1/cnt_RNI3INT71[16]:B,12420
Initial_blinking_SW1/cnt_RNI3INT71[16]:C,17170
Initial_blinking_SW1/cnt_RNI3INT71[16]:D,
Initial_blinking_SW1/cnt_RNI3INT71[16]:FCI,12116
Initial_blinking_SW1/cnt_RNI3INT71[16]:FCO,12116
Initial_blinking_SW1/cnt_RNI3INT71[16]:S,12287
Initial_blinking_SW1/cnt[13]:ADn,
Initial_blinking_SW1/cnt[13]:ALn,16174
Initial_blinking_SW1/cnt[13]:CLK,12213
Initial_blinking_SW1/cnt[13]:D,12344
Initial_blinking_SW1/cnt[13]:EN,
Initial_blinking_SW1/cnt[13]:LAT,
Initial_blinking_SW1/cnt[13]:Q,12213
Initial_blinking_SW1/cnt[13]:SD,
Initial_blinking_SW1/cnt[13]:SLn,
Initial_blinking_SW1/cnt[15]:ADn,
